выиграл и 0 смертей	{name} совершил 0 ошибок на {hero}
выиграл и высокий гпм	{name} был богаче арабского шейха
выиграл, много киллов и 0 смертей	В соляново.
проиграл, много крипов, мало убийств и мало ассистов	{name} победил крипов... но не героев
проиграл, мало убийств, мало ассистов, низкий гпм	{name} стоял афк
много смертей	{name} сидел в таверне дольше, чем играл
проиграл, много киллов, мало смертей	{name} в этой игре играл 1v9 
проиграл, высокий гпм и мало смертей	Команда так и не дождалась {name}
выиграл, мало киллов, много ассистов	{name} – помощник от бога
проиграл, мало киллов, много ассистов	{name} помогал как мог
проиграл, высокий гпм	{name} тащил, но не в ту сторону
выйграл, много смертей, мало килов, мало ассистов	{name} был тем еще якорем на {hero}
проиграл, мало килов, много смертей, мало гпм 	{name} показал всю донную мощь
выйграл, мало кда, мало гпм	{name} играл с бустером
выйграл, средний кда, средний гпм	{name} жал кнопки вовремя на {hero}
проиграл, средний кда, средний гпм, 	{name} не оправдал ожиданий на {hero}
выйграл, мало килов, мало ассистов, высокий гпм, много крипов, низкий урон по зданиям	{name} бил только крипов на {hero}
выйграл, высокий урон по зданиям, мало килов	{name} победил на {hero} вражеские бараки
проиграл, высокий урон по зданиям, мало килов	Вражеский трон устоял под натиском {name}
выйграл, высокий урон по зданиям, много килов	{name} ломал лица и здания на {hero}
проиграл, высокий урон по зданиям, много килов	{name} шел к успеху на {hero} но не фартануло
проиграл, высокий кда	{name} очень обидно проиграл на {hero}
проиграл, высокий кда, низкий гпм	{name} старался из всех сил на {hero}
проиграл, средний кда, высокий гпм 	{name} пытался победить на {hero}
выйграл, средний кда, средний гпм 	{name} отыграл на твердую четверочку на {hero}
выйграл, низкий кда, средний урон	{name} тянул на дно свою команду на {hero}
выйграл, высокий урон по зданиям, много крипов, 	{name} фурион , фурион, по фарму чепион на {hero}
выйграл, низкий гпм, низкий урон по зданиям, мало крипов, низкое кда, мало ассистов, мало киллов, мало смертей	{name} был вардом на {hero}
выйграл, низкий кда, низкий урон	Габен благословил {name} на эту победу